stratum,outcome,tolerance_level,primary_decision_level,method_a,method_b,condition_n,probability_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
interruption,qualification_pass,primary_tolerance,True,s_transform,vmd,20,0.0595,-0.04550000000000001,0.2020125,0.34782608695652173,0.48575712143928035
interruption,qualification_pass,double_tolerance,False,stft,wavelet,20,0.5980000000000001,0.397,0.7995000000000001,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,double_tolerance,False,stft,s_transform,20,0.5980000000000001,0.397,0.7995000000000001,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,double_tolerance,False,stft,vmd,20,0.5885,0.3949875000000001,0.7815124999999999,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,double_tolerance,False,wavelet,s_transform,20,0.0,0.0,0.0,1.0,1.0
interruption,qualification_pass,double_tolerance,False,wavelet,vmd,20,-0.009499999999999996,-0.08249999999999996,0.0605,0.8215892053973014,1.0
interruption,qualification_pass,double_tolerance,False,s_transform,vmd,20,-0.009499999999999996,-0.08249999999999996,0.0605,0.8215892053973014,1.0
notching,qualification_pass,half_tolerance,False,stft,wavelet,21,0.07714285714285715,-0.06861904761904761,0.23809523809523805,0.33983008495752126,1.0
notching,qualification_pass,half_tolerance,False,stft,s_transform,21,0.07190476190476189,-0.08248809523809522,0.23809523809523808,0.3748125937031484,1.0
notching,qualification_pass,half_tolerance,False,stft,vmd,21,-0.022380952380952383,-0.08,0.012857142857142845,0.6976511744127936,1.0
notching,qualification_pass,half_tolerance,False,wavelet,s_transform,21,-0.005238095238095238,-0.14238095238095236,0.12571428571428572,0.9525237381309345,1.0
notching,qualification_pass,half_tolerance,False,wavelet,vmd,21,-0.09952380952380951,-0.28380952380952384,0.06669047619047608,0.2128935532233883,1.0
notching,qualification_pass,half_tolerance,False,s_transform,vmd,21,-0.09428571428571428,-0.28380952380952384,0.049523809523809526,0.42978510744627685,1.0
notching,qualification_pass,primary_tolerance,True,stft,wavelet,21,-0.003333333333333331,-0.14619047619047618,0.1395238095238095,0.9015492253873063,1.0
notching,qualification_pass,primary_tolerance,True,stft,s_transform,21,-0.003809523809523813,-0.19047619047619047,0.17904761904761907,0.9145427286356822,1.0
notching,qualification_pass,primary_tolerance,True,stft,vmd,21,-0.004285714285714287,-0.11285714285714288,0.11571428571428571,0.895552223888056,1.0
notching,qualification_pass,primary_tolerance,True,wavelet,s_transform,21,-0.0004761904761904766,-0.23809523809523808,0.2366666666666667,0.9165417291354323,1.0
notching,qualification_pass,primary_tolerance,True,wavelet,vmd,21,-0.0009523809523809558,-0.14285714285714285,0.12571428571428572,0.9055472263868066,1.0
notching,qualification_pass,primary_tolerance,True,s_transform,vmd,21,-0.0004761904761904872,-0.15907142857142856,0.15904761904761902,0.993503248375812,1.0
notching,qualification_pass,double_tolerance,False,stft,wavelet,21,-0.04380952380952381,-0.13142857142857145,0.0,0.7336331834082959,1.0
notching,qualification_pass,double_tolerance,False,stft,s_transform,21,-0.047619047619047616,-0.2857142857142857,0.19047619047619047,0.8905547226386806,1.0
notching,qualification_pass,double_tolerance,False,stft,vmd,21,0.047619047619047616,0.0,0.14285714285714285,0.7336331834082959,1.0
notching,qualification_pass,double_tolerance,False,wavelet,s_transform,21,-0.003809523809523813,-0.2419047619047619,0.23428571428571432,0.9965017491254373,1.0
notching,qualification_pass,double_tolerance,False,wavelet,vmd,21,0.09142857142857143,0.0,0.2304761904761905,0.271864067966017,1.0
notching,qualification_pass,double_tolerance,False,s_transform,vmd,21,0.09523809523809523,-0.14285714285714285,0.3333333333333333,0.5367316341829086,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,stft,wavelet,27,0.0,0.0,0.0,1.0,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,stft,s_transform,27,-0.037037037037037035,-0.14814814814814814,0.07407407407407407,0.8125937031484258,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,stft,vmd,27,0.037037037037037035,0.0,0.1111111111111111,0.7136431784107946,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,wavelet,s_transform,27,-0.037037037037037035,-0.14814814814814814,0.07407407407407407,0.8125937031484258,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,wavelet,vmd,27,0.037037037037037035,0.0,0.1111111111111111,0.7136431784107946,1.0
oscillatory_transient,qualification_pass,half_tolerance,False,s_transform,vmd,27,0.07407407407407407,0.0,0.18518518518518517,0.2318840579710145,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,stft,wavelet,27,0.037037037037037035,0.0,0.1111111111111111,0.7476261869065467,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,stft,s_transform,27,-0.037037037037037035,-0.18518518518518517,0.1111111111111111,0.8205897051474262,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,stft,vmd,27,0.015555555555555553,-0.1111111111111111,0.14814814814814814,0.9625187406296851,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,wavelet,s_transform,27,-0.07407407407407407,-0.2222222222222222,0.07407407407407407,0.4587706146926537,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,wavelet,vmd,27,-0.021481481481481483,-0.1325925925925926,0.07407407407407407,0.7926036981509246,1.0
oscillatory_transient,qualification_pass,primary_tolerance,True,s_transform,vmd,27,0.05259259259259259,0.0,0.14222222222222222,0.26786606696651677,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,stft,wavelet,27,0.0,0.0,0.0,1.0,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,stft,s_transform,27,-0.037037037037037035,-0.2222222222222222,0.1111111111111111,0.8185907046476761,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,stft,vmd,27,0.0,-0.14814814814814814,0.14814814814814814,1.0,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,wavelet,s_transform,27,-0.037037037037037035,-0.2222222222222222,0.1111111111111111,0.8185907046476761,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,wavelet,vmd,27,0.0,-0.14814814814814814,0.14814814814814814,1.0,1.0
oscillatory_transient,qualification_pass,double_tolerance,False,s_transform,vmd,27,0.037037037037037035,0.0,0.1111111111111111,0.7476261869065467,1.0
sag,qualification_pass,half_tolerance,False,stft,wavelet,19,-0.1957894736842105,-0.3910657894736842,-0.038421052631578946,0.025987006496751622,0.15592203898050974
sag,qualification_pass,half_tolerance,False,stft,s_transform,19,-0.010526315789473684,-0.03157894736842106,0.0,0.719640179910045,1.0
sag,qualification_pass,half_tolerance,False,stft,vmd,19,-0.05263157894736842,-0.15789473684210525,0.0,0.7166416791604198,1.0
sag,qualification_pass,half_tolerance,False,wavelet,s_transform,19,0.18526315789473685,0.038421052631578946,0.368473684210526,0.025987006496751622,0.15592203898050974
sag,qualification_pass,half_tolerance,False,wavelet,vmd,19,0.1431578947368421,-0.06684210526315788,0.3542105263157895,0.24987506246876562,0.9995002498750625
sag,qualification_pass,half_tolerance,False,s_transform,vmd,19,-0.042105263157894736,-0.15789473684210525,0.03157894736842106,0.7166416791604198,1.0
